Frame,Hip Raw,Hip Filtered,Knee Raw,Knee Filtered,Ankle Raw,Ankle Filtered,Left Heel Values
51,154.30132922836776,154.29812990431944,155.05388377745433,155.05141241527565,115.53209792779705,115.53247670449792,[-0.08874013  0.79830217 -0.05691926  0.90562278]
52,158.06724973204075,156.52077433971687,158.55051539836884,151.50192843175512,119.21322605850007,115.78301386741863,[-0.08688103  0.79808098 -0.00797189  0.91240853]
53,160.9074253171,157.15839781866808,153.3645579751536,146.5037133841658,111.1492715293901,117.50389369003605,[ 0.17590441  0.79396379 -0.04919075  0.91914892]
54,152.88462772012187,156.72546605317135,124.58210857442522,143.47414046668823,120.9528245010554,121.21206659379466,[ 0.11659299  0.71232986 -0.06850325  0.92390388]
55,155.1228337067374,157.00707490554984,149.45616578966843,145.57251708567023,126.31124937174525,124.76873650257879,[-0.03634294  0.74341899 -0.08006678  0.93035877]
56,160.63315307190888,158.46886258075546,158.0317872141459,149.83295118342616,128.85880418359838,124.58010927147808,[-0.01791424  0.76622981 -0.0961846   0.93315578]
57,159.9356179329842,159.9861212424617,151.16894238354513,151.8164852072782,123.33192869538554,119.57817118275015,[ 0.02084501  0.76613075 -0.08611602  0.92777508]
58,161.63730453236766,160.69505186021578,148.65882977988292,151.56616920339346,106.01758886031814,113.08697744353816,[0.06283078 0.78919423 0.09821388 0.89424032]
59,161.18597015260204,160.9011580382229,151.8585547452632,151.51484118971513,107.56079356104745,109.63383261704944,[0.11736824 0.79566336 0.13530399 0.86906838]
60,161.6865157858243,161.8631047955689,153.43364719841682,152.98311822730096,108.83659202007149,110.11362006578267,[0.18598464 0.79636818 0.12106666 0.84577382]
61,160.74466721876433,164.90217056072476,154.77465725248365,156.1986710347338,116.19042826261185,111.29112932936395,[0.16590406 0.81110656 0.14663099 0.85299236]
62,171.04736388062304,169.74960214434347,160.63898849378688,160.86161549655304,113.87701704574904,109.98308492240193,[0.08060762 0.81826103 0.18081635 0.8590681 ]
63,176.0396429576838,174.1093943140143,163.820444896224,165.65802911073536,102.92059763069011,106.77668707202666,[0.00294783 0.82813418 0.15858904 0.86228311]
64,176.64195432728468,175.65127934779926,171.26579075812145,168.08000701029104,101.84200408885788,104.84336307991876,[-0.06588578  0.84268242  0.1796875   0.82515472]
65,174.1243881304819,173.9107029227439,171.1765322619751,166.11564391269866,107.02334106738135,105.85472581115836,[-0.11093108  0.84985125  0.26193175  0.82897657]
66,169.77950193308635,170.14050453949528,160.87836675275264,161.2440969594959,109.16437212264279,108.76417467366011,[-0.24210511  0.76703304  0.23728932  0.83350492]
67,167.21051885129904,166.32832815220056,144.8853522625817,157.919402193806,107.9628067526695,111.34397443584045,[-0.0798695   0.76938272  0.08939236  0.81374526]
68,160.34817852843,164.37127009318687,171.6942991280076,158.61534162363571,124.17600787207117,111.7023132662157,[0.2284593  0.77562839 0.1999141  0.82683933]
69,164.4816194268625,164.7949912397559,152.93172914345462,162.28925024088244,99.61207239803032,110.3515663774299,[0.02913017 0.78072798 0.1853094  0.80998093]
70,172.37415622645,166.32762519992042,170.12992882914,166.97578268710097,112.93783858797774,110.19345378609547,[-0.08792128  0.79350019  0.18139537  0.81254917]
71,162.10218823682825,167.84736561408965,174.19188139165803,170.6331461896125,111.002217999719,113.12236636505239,[-0.20478332  0.7880559   0.17685941  0.81651342]
72,173.18437875553118,169.5297931693387,172.10092512253547,172.18855476792555,115.03036826645244,118.1826057188935,[-0.04095738  0.79959196  0.18697713  0.79737735]
73,167.84405750856627,171.58184848576755,167.6029735947171,172.6986931670096,127.19422958187646,122.18686958781458,[0.26169026 0.80014414 0.13113768 0.80118895]
74,175.0644245968448,173.30008453739651,174.0489078458302,172.95115538210467,127.4301436993502,122.0340651709602,[0.15787448 0.80104661 0.14545567 0.79551154]
75,176.38859184016863,173.5721859866474,174.23618209394866,171.48629098116388,114.54179563048237,118.304906854059,[0.08613014 0.8127737  0.14666855 0.7855829 ]
76,170.41080448088,172.2538427392519,174.37491347801063,167.30905305662031,111.37803652875004,114.98002465341459,[-0.04458754  0.8343994   0.23046137  0.79644871]
77,171.70504197360327,170.73575956303083,151.49622613230318,163.03738570853469,114.64851380649884,114.8614005341978,[-0.16369851  0.74114114  0.22025739  0.79523736]
78,165.93259558841586,170.54592301862533,161.56006477755392,162.1491003248542,115.89608953962464,117.05353956691388,[0.11315752 0.78410721 0.10852512 0.79186326]
79,172.57734800257194,171.429486256529,168.76411032363896,164.1272418117128,122.92122310015901,118.47915603011865,[0.1875557  0.80817699 0.08255825 0.78917366]
80,173.3742621491959,171.05042577811483,166.40687766893222,165.84150562264983,118.93269291721944,116.98514038194955,[0.1194801  0.81534642 0.10110426 0.78890824]
81,172.3080869084682,167.46610383215847,165.15843684331904,165.87981192354147,110.95518854935813,113.43205619987204,[0.09479987 0.81488419 0.13841394 0.79775119]
82,159.00116665926228,162.0895180751869,164.9325909130604,164.8868489292643,108.00173413562472,110.45146005502235,[0.10786456 0.81828511 0.11361928 0.80154604]
83,153.2101785493452,158.73548740474158,162.99196480678856,163.73107826499466,109.27941564050411,109.29257599377804,[0.12428556 0.82167226 0.08240488 0.80686933]
84,161.75485647988648,159.37847577043493,162.40821166527465,162.69347354637992,111.10450765456412,108.92352452209465,[0.16840652 0.82097787 0.00112701 0.8062579 ]
85,161.9206009573028,162.46993721722555,161.8210178018703,161.42019578847805,108.36361085784183,107.95446452533204,[0.16776991 0.81766838 0.01268875 0.79910785]
