Frame,Hip Angle,Knee Angle,Ankle Angle
171,174.70163490253657,172.09646776884117,123.9617502142006
172,157.46113036821734,127.44593094130737,116.36342257859039
173,142.25399466830882,97.78373007699243,115.57371072690295
174,148.92340551932506,110.78923817534925,117.31572707520193
175,172.70240959033194,170.49802802278703,103.8123577743952
176,171.78439018602447,170.97529223219635,106.55130885424927
177,175.75216459389844,171.7123056309431,119.87773836854966
178,172.8497635430749,164.16705229761305,117.70122779543621
179,171.11694003074055,163.19970193519862,117.04383739978473
180,170.52567324296757,163.07009026467895,119.17282558374386
181,173.25015169363334,172.1934115725674,120.04850110208763
182,174.64627446915182,169.20871297986184,116.54567906962274
183,136.92555219758597,96.5973021320557,121.09249460711605
184,133.00070434479014,86.20079348489044,123.79153703538051
185,145.54596732534336,106.89548852360278,128.21977290859454
186,172.73837412691353,169.40775560523562,120.01460207485658
187,173.01613968270516,170.29930535506247,120.8897649166863
188,176.10081550197734,172.58305747511025,126.81549026074826
189,171.65832393127218,166.9665903348837,124.87627103134196
190,165.79078590986268,152.28544339612998,117.90776512542264
191,173.57012490959298,168.91467916998704,117.85055627644891
192,173.78338921861513,165.57537375449652,114.33652183746274
193,142.4888294172944,100.28921579349692,109.30207045064387
194,136.57695096660757,87.55175951160165,107.84950328515708
195,159.74422660882058,119.27019555494735,108.36771148838903
196,170.5558017911872,169.56112070541528,111.988790003536
197,177.45961122367308,161.55650899792082,117.96310726303106
198,168.46131882016132,142.48900688487635,109.94332987995135
199,170.89495637854404,152.8023039492459,113.78824202573945
200,159.37300648148772,131.29403644715057,112.20230203471607
201,175.1757364008619,169.01295436113384,116.02962251153086
202,173.96730666525457,169.66605731280148,115.77096469248133
203,151.60983080659398,110.79709936673578,113.19425147508467
204,139.8868604550496,98.17952144720599,117.09449790180754
205,149.4256782547074,116.40941168293786,122.46686241426018
206,178.06126108361218,163.61338784475822,119.66551577231782
207,174.0034097765573,171.585685325239,116.96726371375415
208,175.70595853181288,162.78105042906083,118.42613665941165
209,169.79724422929817,159.85562351956466,121.48237738196094
210,163.3510822176327,145.3328858470529,118.15523787936404
211,173.02897655762766,156.08787578642455,117.84201305956178
212,175.57117247740084,170.38655608785044,125.19406174496955
213,172.8694322218728,173.5237042576628,126.10994265081753
214,170.26665973828784,153.93099176239326,116.82855535992888
215,164.842748080528,145.96788960453756,108.95964776835547
216,162.20825730500064,142.1374298181031,102.19659285084711
217,156.23287110689324,144.70136830813288,98.67963922772307
218,157.79735854353783,148.17453671106665,99.76197090042835
219,160.8519788027892,150.539564473458,101.99231204845898
220,161.9821917103924,150.725355341388,101.98277692890001
221,167.10832051205355,149.39690930819793,95.89368881982392
222,167.0105705444699,145.1419619142686,90.35826432469045
223,166.05963175923452,139.21608910208954,87.8977802166889
224,165.9626789438771,134.27318520573968,82.0953506854341
225,166.0714805358432,133.53762792223299,84.85435554988496
226,160.28918331724716,129.6918956157182,84.06813803847487
227,160.4980466335715,131.0337826179656,84.7326796922893
228,159.3856404689289,127.92223407575187,90.34385023588706
229,159.83144537144605,99.54820309156146,115.15403763322301
230,154.95523006080467,93.11371792990353,129.3721738857684
231,154.1957614199225,93.00184663914838,121.39122747872933
232,167.47990748081628,120.43256921410119,111.65174510821606
233,151.613622046354,102.827433074528,103.07070485129013
238,118.34816735009332,98.39149083948476,30.644767552874598
239,25.8824654421946,137.44610627874738,100.48942639339167
240,14.501354431513843,152.60970702878168,107.05876682703126
241,150.32388799486606,133.5279623566436,46.87630865188173
242,164.9350051880221,148.29603987157464,49.18970613361513
243,161.0588968001382,167.19038850644625,116.90577673363961
244,158.1902007279916,170.7078400183208,68.81840405343497
245,167.2512161485584,158.73471577087113,65.542058898027
246,156.7408548773292,160.45976571689565,92.12798390378508
247,87.12082918794857,134.32566884322713,105.39775653739454
248,96.85993171420482,167.4309501176128,66.6868967341933
249,110.84278819565608,173.322987664007,85.07153383037101
250,104.3249547055213,166.45117444294112,91.53405997410725
251,113.44537297615314,168.15374402425442,96.9546704569086
252,94.20988128231669,177.48627946154122,94.46841027028167
253,42.95193904172492,152.327611122507,105.57433600961797
254,23.856908750140715,159.7284149081398,114.87396583680939
255,39.1179190722967,133.28341762587306,107.01910688595828
256,42.71251531318854,157.98538432776547,123.23254486511843
257,40.89034608091586,162.6660242815113,126.18124668605702
258,44.15627693990854,162.0856360128997,130.89187537953052
259,167.38702437081963,173.6982266899262,104.08881628319865
260,146.9888864042698,168.59947991394273,111.68141130385585
261,120.92358840897951,162.8414867800366,72.76459870866424
262,120.73506233579852,143.42663315145217,109.32304671198705
263,37.31788358804157,151.63219062491714,40.11559576085359
267,15.88511969806138,160.81871437567364,132.3350611318544
268,14.951340595140925,156.08762544157153,127.86854127713994
269,15.747251633596106,169.31452957736485,138.28202209095747
270,15.665352201949151,174.89110941823068,147.70278716475028
271,16.113575068434706,166.80371960497197,138.44864939823714
272,24.414469782384952,173.1043282375445,140.54217198172788
273,23.091655677989397,169.56400386669927,131.36169897754596
274,18.434131830105606,170.67874673692756,132.40579971159397
275,19.753628872938492,166.7775362442128,130.2477348698196
276,19.983692023141327,163.2487241827023,130.46241722671584
277,33.52012330274044,168.50173701987316,129.00442506998712
