Hip Filtered,Knee Filtered,Ankle Filtered,Left Heel Values
16.772699873054997,25.85016995058593,70.36192543365027,"(0.11785505677358189, 0.7512819954179767, 0.24443570705894363)"
15.74498172582419,25.77765097405589,71.15633220656929,"(0.12107737846186317, 0.7522126802940401, 0.23541166385743964)"
15.564260882002527,25.203667026062803,72.01924141337479,"(0.11843151110999683, 0.7503247303135121, 0.22836923143727025)"
16.037770373477723,23.869510788665742,73.22778445208614,"(0.10871574728371389, 0.7456554359838518, 0.22580746185320333)"
17.18590287899092,24.08066703895432,73.03625190240099,"(0.09919378562557027, 0.7459701816359603, 0.2228000637887154)"
19.427843824947743,28.35281404146944,70.43391460303658,"(0.09374411242500995, 0.7523262610618233, 0.21886066232347176)"
21.975391042956606,33.07042895529441,67.00021300375823,"(0.09018631862630384, 0.7599323519209091, 0.21682900518166665)"
22.883200557312044,33.21572974053319,65.7051326276619,"(0.08589289431249816, 0.7654147290055624, 0.21789950635330443)"
22.361093536850802,30.045710832661396,67.56263450547553,"(0.08318705068802398, 0.767943117405378, 0.21908631598375242)"
21.653943403010746,27.232115023505532,70.1024903149225,"(0.0869170639680238, 0.7711923655320315, 0.21843837038094538)"
21.794931988513568,27.530349489319846,70.23016743252427,"(0.09890804946903466, 0.7767812712316873, 0.2148745457515712)"
22.468351303904555,29.95638711359059,67.86529703864157,"(0.1160078175418026, 0.7815623344268711, 0.21091927865273435)"
22.43207574927044,31.86937710226346,66.2186454075766,"(0.12501421335412596, 0.7734418379289089, 0.21961641941330035)"
21.113294714025795,33.382257714597046,68.20535273512982,"(0.11595720527632186, 0.7473029967641558, 0.24201205581985683)"
18.642708334327885,34.07249446592836,73.21661177483986,"(0.09665408730699077, 0.722208835846483, 0.2565077152332614)"
16.214131772761693,33.786558837102106,79.0183145022869,"(0.07913558830542385, 0.7115543822025567, 0.25344332786577)"
14.991803820800111,33.62156208608411,84.16494286790495,"(0.06461557848642734, 0.7079009421714757, 0.2472118305393929)"
15.520182413984575,34.20883091756271,88.54417050760922,"(0.04559921931567756, 0.7003318627485807, 0.25236596171845593)"
19.064918136709515,36.927082135203456,91.98789494421948,"(0.02201716394252987, 0.6866692906554313, 0.26491949044678015)"
23.475562880192538,42.55083846780374,96.02913002530106,"(-0.02667541178618785, 0.6364730338003447, 0.2658058937346355)"
25.928937678391236,51.16527913082287,99.1526005446073,"(-0.091850752638103, 0.5181704757377756, 0.24331263313267446)"
68.90336221764551,36.79541322645346,84.45423971676506,"(-0.1205569975906815, 0.35243301272159167, 0.2183519590138318)"
120.44638997577138,46.28276433537095,88.11923217551016,"(-0.1658891812870875, 0.18110129795924435, 0.20610178829895923)"
73.92032565885508,54.56625801688001,139.92214488372088,"(-0.29405200687863375, 0.05922503898273356, 0.18664746915294902)"
34.11648776749201,38.75201721353878,81.99784641458781,"(-0.4541040765195651, 0.00868406091538959, 0.15768671377665727)"
15.451890581077413,32.07298976812767,70.47471059177417,"(-0.5847346655986138, 0.004692770832359498, 0.13340171751762522)"
7.892936021903573,31.43405266776726,67.30865808979412,"(-0.6677549634427351, 0.018696630408469153, 0.11869314727804883)"
